Categoria,Año,Campeón,Subcampeón,Tercero,Desciende
Femenina,2010-11,INEF Barcelona (8º),CRAT,CR Majadahonda,Gaztedi RT
Femenina,2011-12,INEF Barcelona (9º),CRAT,Bizkarians RE,Sanse Scrum
Femenina,2012-13,INEF Barcelona (10º),Olímpico de Pozuelo RC,CRAT,Gòtics RC
Femenina,2013-14,Olímpico de Pozuelo RC (1º),CRAT,INEF Barcelona,-
Femenina,2014-15,CRAT (1º),Getxo RT,Olímpico de Pozuelo RC,Complutense Cisneros
Femenina,2015-16,INEF Barcelona (11º),CR Majadahonda,Sanse Scrum,-
Femenina,2016-17,Olímpico de Pozuelo RC (2º),CRAT,CR Majadahonda,GEiEG
Femenina,2017-18,Olímpico de Pozuelo RC (3º),CR Majadahonda,CRAT,Getxo RT
Femenina,2018-19,CRAT (2º),INEF-L'Hospitalet,CR Majadahonda,XV Hortaleza RC
Femenina,2019-20,Corteva Cocos Rugby (1º),CR Majadahonda,CR Complutense Cisneros,"INEF-L'Hospitalet
Autoconsa El Salvador"
Femenina,2020-21,CR Complutense Cisneros (1º),CR Majadahonda,AVIA Eibar Rugby Taldea,C.P. Les Abelles
Femenina,2021-22,Corteva Cocos Rugby (2º),CR Majadahonda,Olímpico de Pozuelo RC,XV Sanse Scrum
Masculina,2010-11,C.R. La Vila,AMPO Ordizia,El Salvador,"Bera Bera Rugby Taldea (9.º)
CAU Rugby Valencia (10.º)"
Masculina,2011-12,VRAC Quesos Entrepinares,AMPO Ordizia,UE Santboiana,Club Alcobendas Rugby (10.º)
Masculina,2012-13,VRAC Quesos Entrepinares,UE Santboiana,Bizkaia Gernika,Club de Rugby La Vila (12.º)
Masculina,2013-14,VRAC Quesos Entrepinares,El Salvador,Complutense Cisneros,Club de Rugby Ciencias (12.º)
Masculina,2014-15,VRAC Quesos Entrepinares,UE Santboiana,Complutense Cisneros,Vigo Rugby Club (12.º)
Masculina,2015-16,SilverStorm El Salvador,VRAC Quesos Entrepinares,Senor Independiente,CRC Pozuelo (12.º)
Masculina,2016-17,VRAC Quesos Entrepinares,SilverStorm El Salvador,Sanitas Alcobendas,Club de Rugby Ciencias (12.º)
Masculina,2017-18,VRAC Quesos Entrepinares,SilverStorm El Salvador,Sanitas Alcobendas,Getxo Rugby Taldea (12.º)
Masculina,2018-19,VRAC Quesos Entrepinares,SilverStorm El Salvador,Sanitas Alcobendas,"Club de Rugby La Vila (11.º)
Gernika Rugby Taldea (12.º)"
Masculina,2019-20,VRAC Quesos Entrepinares,SilverStorm El Salvador,Sanitas Alcobendas,"Bathco RC (11.º)
Hernani Club de Rugby Elkartea (12.º)"
Masculina,2020-21,VRAC Quesos Entrepinares,Lexus Alcobendas,SilverStorm El Salvador,"Independiente Rugby Club (11.º)
Getxo Rugby Taldea (12.º)"
Masculina,2021-22,UE Santboiana,AMPO Ordizia RE,SilverStorm El Salvador,"Lexus Alcobendas (DSQ)
Gernika Rugby Taldea (12.º)"
