TEMPORADA,FEDERACIÓN,Total,T. Jres,Senior,"Sub
21","Sub
18","Sub
16","Sub
14","Sub
12","Sub
10","Sub
8","Sub
6","T.
Jras",Esc.
2016,Andalucía,4247,3628,1154,288,428,396,370,354,293,216,129,343,0
2016,Aragón,738,557,307,80,103,52,10,0,1,1,3,131,330
2016,Asturias,903,669,183,14,77,83,112,74,64,45,17,135,0
2016,Baleares,932,824,262,39,84,98,114,69,86,49,23,69,165
2016,Canarias,243,224,106,29,55,17,13,3,1,0,0,13,75
2016,Cantabria,575,427,105,30,55,47,71,52,42,20,5,61,0
2016,Cas. y León,2161,1639,436,112,154,171,164,172,176,167,87,339,0
2016,Cataluña,6493,4995,1572,386,519,598,593,479,410,288,150,936,0
2016,Extremadura,327,311,125,14,36,52,40,23,13,3,5,0,0
2016,Galicia,1482,1098,368,108,102,105,110,103,94,69,39,201,0
2016,Madrid,8384,6876,1975,504,788,844,767,623,602,482,291,717,0
2016,Murcia,947,728,251,102,115,58,57,55,43,38,12,157,194
2016,Navarra (y La R.),856,734,238,77,81,89,92,76,49,21,11,45,0
2016,Valencia,3406,2919,904,344,319,345,291,258,212,176,70,163,515
2016,País Vasco,1910,1459,636,208,259,351,5,0,0,0,0,228,1044
2016,FER,28,8,0,0,0,0,0,0,0,0,0,0,0
2017,Andalucía,4861.0,4262.0,1756.0,173.0,397.0,426.0,429.0,383.0,344.0,225.0,129.0,315.0,0
2017,Aragón,738.0,545.0,304.0,68.0,102.0,51.0,15.0,2.0,1.0,1.0,1.0,147.0,304.0
2017,Asturias,1027.0,737.0,174.0,82.0,97.0,115.0,97.0,95.0,56.0,20.0,1.0,174.0,0
2017,Baleares,1035.0,936.0,312.0,43.0,78.0,148.0,100.0,70.0,93.0,58.0,34.0,48.0,316.0
2017,Canarias,236.0,207.0,149.0,0.0,19.0,15.0,11.0,12.0,0.0,1.0,0.0,23.0,103.0
2017,Cantabria,643.0,487.0,123.0,18.0,60.0,69.0,74.0,56.0,61.0,21.0,5.0,59.0,0
2017,Cas. y León,2423.0,1825.0,429.0,112.0,151.0,206.0,215.0,201.0,198.0,193.0,120.0,397.0,0
2017,Cataluña,6415.0,4880.0,1467.0,325.0,513.0,571.0,618.0,516.0,461.0,272.0,137.0,945.0,0
2017,Extremadura,288.0,258.0,147.0,9.0,22.0,33.0,30.0,6.0,6.0,3.0,2.0,14.0,79.0
2017,Galicia,1675.0,1207.0,351.0,92.0,114.0,115.0,149.0,118.0,128.0,86.0,54.0,273.0,0
2017,Madrid,8788.0,7111.0,1997.0,537.0,812.0,876.0,798.0,657.0,632.0,499.0,303.0,745.0,0
2017,Murcia,904.0,705.0,244.0,101.0,109.0,56.0,55.0,52.0,41.0,36.0,11.0,148.0,219.0
2017,Navarra (y La R.),927.0,818.0,246.0,82.0,94.0,138.0,114.0,75.0,40.0,21.0,8.0,24.0,0
2017,Valencia,4089.0,3404.0,998.0,342.0,393.0,386.0,351.0,321.0,296.0,176.0,141.0,191.0,634.0
2017,País Vasco,1978.0,1446.0,636.0,221.0,316.0,273.0,0.0,0.0,0.0,0.0,0.0,280.0,1044.0
2017,FER,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2018,Andalucía,5580,4773,884,108,156,403,497,476,1108,725,416,459,0
2018,Aragón,986,802,276,42,73,83,12,13,131,102,70,132,0
2018,Asturias,1024,788,222,19,75,87,102,111,93,45,34,174,343
2018,Baleares,1038,888,254,15,97,126,110,111,93,48,34,88,392
2018,Canarias,251,208,123,1,10,14,24,13,9,14,0,30,103
2018,Cantabria,691,469,174,26,31,55,66,51,45,16,5,114,110
2018,Cas. y León,2637,1907,638,21,146,192,198,188,206,201,117,494,0
2018,Cataluña,6654,4937,1537,354,508,566,614,512,455,264,127,1066,0
2018,Extremadura,314,283,141,2,25,30,25,23,13,14,10,14,68
2018,Galicia,1694,1216,479,60,38,103,109,102,98,144,83,240,0
2018,Madrid,922,7469,2149,289,609,902,802,798,740,756,424,771,0
2018,Murcia,856,651,261,20,87,145,93,18,13,11,3,158,203
2018,Navarra (y La R.),895,785,163,41,43,109,162,121,79,41,26,24,0
2018,Valencia,3925,3306,1144,87,329,362,363,388,247,220,166,180,552
2018,País Vasco,2054,1512,571,129,183,337,292,0,0,0,0,280,1023
2018,FER,28,8,0,0,0,0,0,0,0,0,0,0,0
2019,Andalucía,5610.0,5209.0,663.0,99.0,465.0,571.0,495.0,507.0,393.0,300.0,156.0,323.0,0
2019,Aragón,821.0,749.0,342.0,0,74.0,98.0,88.0,3.0,6.0,2.0,26.0,154.0,240.0
2019,Asturias,1136.0,924.0,321.0,74.0,107.0,117.0,105.0,94.0,71.0,44.0,4.0,202.0,488.0
2019,Baleares,1051.0,999.0,229.0,26.0,108.0,103.0,109.0,109.0,79.0,62.0,24.0,102.0,162.0
2019,Canarias,291.0,276.0,99.0,0,38.0,26.0,29.0,24.0,25.0,6.0,5.0,24.0,97.0
2019,Cantabria,705.0,553.0,93.0,29.0,61.0,89.0,84.0,78.0,128.0,23.0,11.0,87.0,0
2019,Cas. y León,2568.0,2460.0,387.0,84.0,209.0,237.0,266.0,226.0,350.0,221.0,147.0,433.0,0
2019,Cataluña,6375.0,5497.0,1679.0,340.0,647.0,753.0,645.0,592.0,400.0,328.0,113.0,938.0,0
